path,sentence,clip,duration[ms]
common_voice_fr_40922327.mp3,Il mit la pièce à conviction dans sa poche.,common_voice_fr_40922327.mp3,4104
common_voice_fr_40922330.mp3,"D'autres caractérisations peuvent être utilisées, dont certaines sont données ci-dessous.",common_voice_fr_40922330.mp3,5940
common_voice_fr_40982180.mp3,Il s'agit d'un milieu particulièrement sensible aux perturbations et à l'envahissement de plantes exotiques.,common_voice_fr_40982180.mp3,9144
common_voice_fr_40982181.mp3,Il repose au cimetière municipal d'Auchel dans le Pas-de-Calais.,common_voice_fr_40982181.mp3,6012
common_voice_fr_40888146.mp3,Heureusement Ursus n’était jamais allé dans les Pays-Bas.,common_voice_fr_40888146.mp3,3456
common_voice_fr_40888150.mp3,"À la libération, il se tient éloigné de la vie politique.",common_voice_fr_40888150.mp3,4176
common_voice_fr_40888154.mp3,Ils sont originaires de Madagascar et d'Afrique australe.,common_voice_fr_40888154.mp3,4536
common_voice_fr_40873493.mp3,"Pour cette raison, il ne fut pas renommé juge et reprit ses activités d'avocat.",common_voice_fr_40873493.mp3,6228
common_voice_fr_40873496.mp3,"Ça, notre maître? ha! ben, ça porterait trois mille.",common_voice_fr_40873496.mp3,6660
common_voice_fr_40873497.mp3,"Cette fois, c'est La Gantoise qui s'accroche mais termine trop court.",common_voice_fr_40873497.mp3,5868
common_voice_fr_40985209.mp3,"Une tempête provoque l'effondrement de la scène principale, et l'annulation du concert de Blur.",common_voice_fr_40985209.mp3,6840
common_voice_fr_40985243.mp3,"Je ne sais pas, répondit l'enfant.",common_voice_fr_40985243.mp3,4212
common_voice_fr_40985276.mp3,Elle décide de partir en Suisse où l'aide au suicide est proposée.,common_voice_fr_40985276.mp3,4968
common_voice_fr_41023997.mp3,Les classifications sont fondées sur l'occupation du chef de ménage.,common_voice_fr_41023997.mp3,5148
common_voice_fr_41024086.mp3,La Thénardier n'avait rien à répliquer.,common_voice_fr_41024086.mp3,3276
common_voice_fr_41024114.mp3,Ces dames se regardèrent en pinçant les lèvres.,common_voice_fr_41024114.mp3,3420
common_voice_fr_40928773.mp3,Les poissons bioaccumulent ce mercure et ils sont mangés par les alligators.,common_voice_fr_40928773.mp3,6876
common_voice_fr_40928776.mp3,N'est-ce pas le Semeur?,common_voice_fr_40928776.mp3,3492
common_voice_fr_40928802.mp3,Le Galaxy S dispose aussi d'un processeur graphique plus puissant.,common_voice_fr_40928802.mp3,6588
common_voice_fr_40871136.mp3,C'est leur seconde victoire de la saison.,common_voice_fr_40871136.mp3,5976
common_voice_fr_40871152.mp3,Ces cuirassés sont construits pour la Marine impériale de Russie.,common_voice_fr_40871152.mp3,8100
common_voice_fr_40871156.mp3,Il y a de l'horreur sacrée sous les porches de l'énigme.,common_voice_fr_40871156.mp3,6948
common_voice_fr_40908295.mp3,"Maladroite, elle sait par contre très bien se bagarrer.",common_voice_fr_40908295.mp3,4464
common_voice_fr_40908320.mp3,Hommes et femmes sont obligatoirement stérilisés pour des raisons différentes.,common_voice_fr_40908320.mp3,5472
common_voice_fr_40908330.mp3,"Cependant, il ne s'associe à aucun thème universel.",common_voice_fr_40908330.mp3,5004
common_voice_fr_40908372.mp3,"Oui, oui, je sais, mon cher enfant.",common_voice_fr_40908372.mp3,4500
common_voice_fr_40908383.mp3,"A travers les rameaux en fleurs, par un gorille.",common_voice_fr_40908383.mp3,3708
common_voice_fr_40908390.mp3,La Providence aurait son heure.,common_voice_fr_40908390.mp3,2952
common_voice_fr_40908391.mp3,Il découvre plusieurs corps chimiques.,common_voice_fr_40908391.mp3,3240
common_voice_fr_40908396.mp3,Au centre se trouve l'ancien déambulatoire avec son jardin délimité d'allées en buis.,common_voice_fr_40908396.mp3,5976
common_voice_fr_40908406.mp3,La première courbe a été modifiée pour les compétitions motocyclistes.,common_voice_fr_40908406.mp3,5364
common_voice_fr_40908407.mp3,Tel est le lendemain de la dissolution.,common_voice_fr_40908407.mp3,3312
common_voice_fr_41071802.mp3,La course a lieu généralement fin avril et le dimanche après-midi.,common_voice_fr_41071802.mp3,6264
common_voice_fr_41071808.mp3,Il se présente comme un hommage à l'inventeur italien Guglielmo Marconi.,common_voice_fr_41071808.mp3,7524
common_voice_fr_41071809.mp3,"Le restaurant perd sa troisième étoile, trois ans après la mort de Jacques.",common_voice_fr_41071809.mp3,5976
common_voice_fr_41071812.mp3,"Des survivants tibétains agonisant ripostèrent, faisant une trentaine de morts parmi les troupes chinoises.",common_voice_fr_41071812.mp3,8244
common_voice_fr_41071820.mp3,Les lionnes furieuses l’avaient suivi.,common_voice_fr_41071820.mp3,4572
common_voice_fr_41071823.mp3,La technique semble également prometteuse quant aux résultats à long terme.,common_voice_fr_41071823.mp3,5652
common_voice_fr_41071827.mp3,Les communistes reprochent au gouvernement sa non-intervention dans la guerre d'Espagne.,common_voice_fr_41071827.mp3,5796
common_voice_fr_41071830.mp3,Il est l'inventeur d'une machine à vapeur pour l'évacuation de l'eau dans les mines.,common_voice_fr_41071830.mp3,5580
common_voice_fr_41071843.mp3,"Je crois à toi, jour ! clarté ! joie !",common_voice_fr_41071843.mp3,4500
common_voice_fr_41071851.mp3,Même la population musulmane l'appelle à juger des cas difficiles.,common_voice_fr_41071851.mp3,5580
common_voice_fr_41072144.mp3,Pourquoi désires-tu cette dernière place plutôt que les deux autres?,common_voice_fr_41072144.mp3,5364
common_voice_fr_41020966.mp3,Elle décide donc de leur octroyer un statut plus favorable.,common_voice_fr_41020966.mp3,3996
common_voice_fr_41020994.mp3,Le roulement de tonnerre avait grandi.,common_voice_fr_41020994.mp3,3636
common_voice_fr_41021027.mp3,La basilique est un exemple de synthèse des styles lombard et byzantin.,common_voice_fr_41021027.mp3,5256
common_voice_fr_41021028.mp3,Il n'en laissa aucun sans réponse.,common_voice_fr_41021028.mp3,3060
common_voice_fr_41021029.mp3,"Celle-ci est confiée à Clément-Pascal Meunier, ingénieur général de l'aviation civile.",common_voice_fr_41021029.mp3,6156
common_voice_fr_41021030.mp3,"Et pendant qu’Ursus monologuait, Gwynplaine s’écriait: — Dea, tu es trop belle.",common_voice_fr_41021030.mp3,6408
common_voice_fr_41021040.mp3,Elle enchaîne ensuite les seconds rôles au cinéma.,common_voice_fr_41021040.mp3,3780
common_voice_fr_41021108.mp3,"Affaire conclue, hein?",common_voice_fr_41021108.mp3,2628
common_voice_fr_41021119.mp3,Veillez-y bien.,common_voice_fr_41021119.mp3,2376
common_voice_fr_41021123.mp3,L'horrible bossu!,common_voice_fr_41021123.mp3,2196
common_voice_fr_41021137.mp3,"Bonjour, monsieur le recteur Thibaut!",common_voice_fr_41021137.mp3,2628
common_voice_fr_41021139.mp3,Elle est morte sous les coups et sous la torture.,common_voice_fr_41021139.mp3,3312
common_voice_fr_41021140.mp3,Il fallait donc faire vite.,common_voice_fr_41021140.mp3,2340
common_voice_fr_41020617.mp3,"Il est d'abord journaliste économique, puis se dirige vers la musique.",common_voice_fr_41020617.mp3,5400
common_voice_fr_41020619.mp3,Il est également membre du Comité national de la gravure française.,common_voice_fr_41020619.mp3,5436
common_voice_fr_41020620.mp3,"De manière simultanée, le musée est alors géré par cette association.",common_voice_fr_41020620.mp3,5940
common_voice_fr_41022093.mp3,"Il arrive de Crèvecoeur, il a une lettre.",common_voice_fr_41022093.mp3,2664
common_voice_fr_41022095.mp3,En ce moment un grondement farouche se fit entendre.,common_voice_fr_41022095.mp3,3456
common_voice_fr_41022131.mp3,"Déjà, à l'époque de ses fiançailles, le Prince Christian était affaibli.",common_voice_fr_41022131.mp3,4932
common_voice_fr_41022139.mp3,"Il n’y a pas eu de survivants, tous sont morts brûlés.",common_voice_fr_41022139.mp3,3096
common_voice_fr_41022168.mp3,"Il est également claveciniste, flûtiste et spécialiste de musique ancienne.",common_voice_fr_41022168.mp3,3996
common_voice_fr_41022211.mp3,"A Rouen, les dames vantaient beaucoup sa distinction.",common_voice_fr_41022211.mp3,2844
common_voice_fr_41022214.mp3,Mais la sonnerie électrique la fit tressaillir.,common_voice_fr_41022214.mp3,3276
common_voice_fr_41022372.mp3,"Vous avez là une jolie bête, dit Gringoire.",common_voice_fr_41022372.mp3,2520
common_voice_fr_41022376.mp3,Il inaugure également des saisons de concerts annuels de cette année-là.,common_voice_fr_41022376.mp3,5148
common_voice_fr_41022389.mp3,"Dépourvu d'armement, il était cependant équipé d'une radio.",common_voice_fr_41022389.mp3,3672
common_voice_fr_41022392.mp3,Un mois plus tard a lieu l'expédition de Quiberon.,common_voice_fr_41022392.mp3,3312
common_voice_fr_41022396.mp3,C'est celui qui se situe le plus au sud.,common_voice_fr_41022396.mp3,2736
common_voice_fr_41022403.mp3,"Il ne s'agit pas d'une thèse purement mythiste, mais d'une thèse spiritualiste.",common_voice_fr_41022403.mp3,4932
common_voice_fr_41022406.mp3,"En astronomie, on parle plus de montage afocal.",common_voice_fr_41022406.mp3,3708
common_voice_fr_41022413.mp3,"Il avait devant lui, pour tout horizon, une vaste opacité livide.",common_voice_fr_41022413.mp3,3780
common_voice_fr_41022416.mp3,Ce sont de petites berlines légères équipées de moteurs puissants.,common_voice_fr_41022416.mp3,4284
common_voice_fr_41022424.mp3,Le gouvernement Sturgeon est composé de ministres appartenant au Parti national écossais.,common_voice_fr_41022424.mp3,5364
common_voice_fr_41022428.mp3,Vive la France!,common_voice_fr_41022428.mp3,1548
common_voice_fr_41022449.mp3,Il n'y avait pas de fenêtre.,common_voice_fr_41022449.mp3,2340
common_voice_fr_41022454.mp3,Les communes membres conservent leur autonomie juridique.,common_voice_fr_41022454.mp3,3780
common_voice_fr_41022461.mp3,"Elle est membre élu de plusieurs instances, commissions universitaires, etc.",common_voice_fr_41022461.mp3,5544
common_voice_fr_41022466.mp3,Le joueur dirige deux personnages.,common_voice_fr_41022466.mp3,3348
common_voice_fr_41022474.mp3,Vous apercevrez la lueur vivante de votre mort bien-aimé au fond du ciel.,common_voice_fr_41022474.mp3,4356
common_voice_fr_41022479.mp3,Des commandes de musées suivirent.,common_voice_fr_41022479.mp3,2520
common_voice_fr_41022489.mp3,L'organisation est calquée sur le modèle français des brigades de chasseurs alpins.,common_voice_fr_41022489.mp3,5328
common_voice_fr_41022492.mp3,Agrégé de droit public.,common_voice_fr_41022492.mp3,2520
common_voice_fr_41022503.mp3,Il représente une forme profonde et puissante du mal.,common_voice_fr_41022503.mp3,3816
common_voice_fr_41024196.mp3,Le single obtient un succès modéré.,common_voice_fr_41024196.mp3,2772
common_voice_fr_41024206.mp3,Cette espèce est nommée en référence au lieu de sa découverte.,common_voice_fr_41024206.mp3,4032
common_voice_fr_41024209.mp3,Cet état de splendeur ne sera plus jamais égalé à Bordeaux.,common_voice_fr_41024209.mp3,4104
common_voice_fr_41024213.mp3,"Après ses études et son diplôme, il devient médecin en Saxe.",common_voice_fr_41024213.mp3,5580
common_voice_fr_41024214.mp3,"Elle se caractérise par son pelage gris bleuté, et est assez peu répandue.",common_voice_fr_41024214.mp3,5436
common_voice_fr_41029046.mp3,Le jeu est plus lent qu'à cheval.,common_voice_fr_41029046.mp3,3204
common_voice_fr_41029050.mp3,La vallée fut ensuite remblayée après expropriations des anciens propriétaires.,common_voice_fr_41029050.mp3,4644
common_voice_fr_41029054.mp3,Il est enterré sans cérémonie à l'extérieur des murs du château dans une fosse.,common_voice_fr_41029054.mp3,3960
common_voice_fr_41029056.mp3,"Bien des formateurs la dispensent, avec plus ou moins de compétence.",common_voice_fr_41029056.mp3,5436
common_voice_fr_41029060.mp3,La question se pose quant à savoir comment la somme doit être utilisée.,common_voice_fr_41029060.mp3,4752
common_voice_fr_41065318.mp3,Encore de la propre marchandise!,common_voice_fr_41065318.mp3,3456
common_voice_fr_41065329.mp3,"Cependant, dans certaines conditions stables, la persistance peut être utilisée.",common_voice_fr_41065329.mp3,5040
common_voice_fr_41065332.mp3,Le projet n'a pas encore abouti.,common_voice_fr_41065332.mp3,2520
common_voice_fr_41065341.mp3,Rome et Lisbonne étaient également pressenties pour accueillir ces Jeux.,common_voice_fr_41065341.mp3,5148
common_voice_fr_41065358.mp3,Nous avons choisi de considérer trois régions,common_voice_fr_41065358.mp3,2952
common_voice_fr_41065365.mp3,"Ces multiples facettes forment, selon Louis Mouchet, un tout cohérent.",common_voice_fr_41065365.mp3,5184
common_voice_fr_41065370.mp3,L'activité économique principale est le commerce.,common_voice_fr_41065370.mp3,4104
common_voice_fr_41065381.mp3,"Je te supplie de me faire devenir sainte, une très grande sainte, une martyre.",common_voice_fr_41065381.mp3,5400
common_voice_fr_41065387.mp3,Jacques Villeneuve a sculpté des groupes et des monuments commémoratifs.,common_voice_fr_41065387.mp3,4752
common_voice_fr_41102681.mp3,Son chef-lieu se situe à Vincelles.,common_voice_fr_41102681.mp3,2160
